# Energy from Jumos simulation
# step	Ekin(kJ/mol)	Epot(kJ/mol)	Etot(kJ/mol)	T(K)
9	473.80647576790557	-506.98020211127465	-33.17372634336908	303.9243942122292
19	378.10965338934756	-411.1995229734979	-33.089869584150335	242.53941900204305
29	376.62722618165304	-409.8010575556543	-33.17383137400128	241.58851222025612
39	361.82487826166414	-394.9479092524671	-33.12303099080299	232.0935077097964
49	379.8232518337769	-412.99255683491657	-33.16930500113966	243.6386111739148
59	409.38902093972996	-442.585814585438	-33.196793645708055	262.60365054021315
69	388.0706604576042	-421.2475444045141	-33.17688394690987	248.92893285167352
79	368.46049454495875	-401.6121560658596	-33.15166152090086	236.34994100538734
89	381.8806933695313	-414.99086267737755	-33.11016930784626	244.95836238957256
99	390.52849594504903	-423.69291968567967	-33.16442374063064	250.50551780734412
109	363.0491741181439	-396.15855998322803	-33.10938586508411	232.87883546605826
119	367.71765173050636	-400.90784734705585	-33.19019561654949	235.87344255312067
129	373.65915007177995	-406.81075005996183	-33.151599988181886	239.6846320923896
139	378.146589902246	-411.2936139232565	-33.14702402101051	242.5631120241546
149	357.3883814887864	-390.5419411792288	-33.153559690442364	229.247705334605
159	360.97798842404165	-394.133739155192	-33.15575073115036	231.55026802433883
169	390.0770969472247	-423.21900227056705	-33.14190532334237	250.21596674804417
179	422.77534772695844	-455.9472072139461	-33.17185948698767	271.19034461808866
189	411.048763708807	-444.1891390204554	-33.14037531164843	263.66829684928337
199	370.56418104466417	-403.7391177793747	-33.17493673471051	237.69935617325555
209	354.5372852958803	-387.67195996517955	-33.13467466929927	227.41886227823812
219	393.00021716881884	-426.1990335301299	-33.19881636131106	252.0910098046374
229	401.49645662553485	-434.6286267439071	-33.132170118372244	257.54094466629044
239	417.39998592221013	-450.5802698571355	-33.18028393492534	267.74230483025775
249	398.65001408251914	-431.7911300735795	-33.14111599106036	255.71508670572987
259	394.2681568297507	-427.4194151901842	-33.15125836043353	252.90433299259473
269	394.3459566118588	-427.50234252495903	-33.15638591310022	252.95423786485026
279	380.11363586990404	-413.2803242193238	-33.16668834941976	243.8248787679273
289	360.0082232033297	-393.111013043688	-33.1027898403583	230.92820960532868
299	387.6365746776351	-420.8181238130333	-33.1815491353982	248.65048740092396
309	389.61171051250426	-422.75770807197756	-33.1459975594733	249.91744341102614
319	371.92620227118243	-405.05849266378203	-33.1322903925996	238.57302822575943
329	367.02842398506544	-400.1553667067165	-33.12694272165106	235.43133562609333
339	374.6815405259492	-407.8259911733894	-33.14445064744024	240.34044710405263
349	385.40330776428516	-418.5527588157145	-33.14945105142937	247.2179525402426
359	377.7278443867688	-410.87532486812046	-33.147480481351636	242.2945066258974
369	366.13183518798354	-399.27852042854755	-33.14668524056401	234.8562164140375
379	379.1489720966233	-412.2915713089286	-33.1425992123053	243.20609268561878
389	387.4261235723659	-420.5649917746187	-33.13886820225281	248.5154929929717
399	378.4785467130089	-411.6455834924652	-33.16703677945634	242.77604658240907
409	375.2517145869319	-408.41492566302367	-33.163211076091784	240.70618673603812
419	381.0770291811584	-414.2348089134644	-33.15777973230598	244.44284990907002
429	384.57249244222106	-417.7313081017528	-33.15881565953174	246.68502389453062
439	383.2149125914071	-416.37369083355014	-33.15877824214306	245.81420077400514
449	383.58697951683644	-416.7565319965378	-33.16955247970134	246.05286406946618
459	381.31387174594056	-414.4676454615949	-33.153773715654324	244.59477318725743
469	397.21365163447433	-430.337662582983	-33.12401094850867	254.79372828363634
479	417.58864446280825	-450.79390717438645	-33.2052627115782	267.8633203410131
489	381.87380739278717	-414.9700846019659	-33.09627720917871	244.9539453619093
499	392.53041006092116	-425.68786098422726	-33.1574509233061	251.78965081533067
509	388.8529387524303	-422.00455787671467	-33.151619124284366	249.43072729522785
519	377.8669664726496	-411.05441310998305	-33.18744663733344	242.38374684914325
529	356.93912312202434	-390.02904512868884	-33.089922006664494	228.95952738865853
539	381.4630358624297	-414.6421811563752	-33.17914529394551	244.69045489711306
549	376.86383464949733	-410.02025812641074	-33.1564234769134	241.74028533635482
559	370.94166041347074	-404.09693202083577	-33.15527160736502	237.94149129457534
569	367.71811597438034	-400.8975350322434	-33.17941905786307	235.87374034355912
579	358.7309647385193	-391.8790264633256	-33.148061724806325	230.10890884642535
589	374.95059396524965	-408.12730668457874	-33.17671271932909	240.51303213134167
599	403.26121354489624	-436.4312623477263	-33.17004880283008	258.67295257475024
609	407.0497261992133	-440.17879736296453	-33.129071163751235	261.1031038544738
619	395.71197799453694	-428.875677982211	-33.16369998767408	253.83047582791005
629	367.82303070873627	-400.9840974890762	-33.16106678033992	235.94103817234327
639	347.7822496405977	-380.9143442594426	-33.13209461884492	223.08582711638982
649	384.960865058913	-418.15746132327075	-33.196596264357765	246.93414651799287
659	378.76633624875353	-411.8942397049526	-33.12790345619908	242.9606499274141
669	354.3536333462481	-387.46542050014995	-33.111787153901844	227.30105825825848
679	370.0758971330909	-403.2107143062311	-33.13481717314022	237.38614519025253
689	393.78155205804603	-426.9457263344362	-33.164174276390156	252.5921990982206
699	391.8275606852509	-424.98263246911864	-33.155071783867754	251.3388062582215
709	369.41927334770946	-402.55115046130305	-33.13187711359359	236.9649521580679
719	362.2597583236158	-395.4172034448558	-33.15744512123996	232.37246265478618
729	348.82667894697795	-381.9297570141511	-33.10307806717316	223.75577900703178
739	366.60591960329214	-399.7870684576916	-33.18114885439945	235.16031909328981
749	375.9815824300424	-409.15702678747937	-33.17544435743696	241.17436235924555
759	366.1646584217815	-399.3072585187797	-33.142600096998194	234.87727096258914
769	367.03547331674815	-400.2468618681833	-33.211388551435164	235.43585743820614
779	355.5552491948644	-388.6954133692053	-33.140164174340896	228.07183786458327
789	364.1728314699358	-397.35121126924537	-33.178379799309596	233.59960839216058
799	369.9465707151353	-403.02661305290866	-33.080042337773364	237.30318842363366
809	412.7920508240069	-445.99804428203134	-33.205993458024466	264.7865328961133
819	396.7210780692345	-429.83645138734425	-33.11537331810973	254.47776569114995
829	390.79629963714757	-423.94383015414655	-33.147530516998984	250.67730118104524
839	397.7608105499842	-430.9366355820236	-33.17582503203937	255.14470479079498
849	386.5032480437645	-419.6179779335785	-33.11472988981404	247.923512088724
859	394.08613834930634	-427.27437892161726	-33.18824057231092	252.7875767656672
869	417.84315551370975	-451.04282994347955	-33.1996744297698	268.0265771155015
879	390.9667647188949	-424.10314802841316	-33.13638330951824	250.78664645037793
889	344.37531442389917	-377.45843162169876	-33.083117197799595	220.9004396748669
899	385.2277469198204	-418.4235288152214	-33.19578189540101	247.10533858068277
909	384.86884721400867	-418.04568399975864	-33.17683678574997	246.87512143243674
919	353.0840528155251	-386.15091093684254	-33.06685812131741	226.4866825301128
929	400.917235230432	-434.1210053003384	-33.2037700699064	257.16940159834036
939	379.93966890832206	-413.09729005935014	-33.15762115102808	243.7132872086814
949	353.7754616422656	-386.8870495642193	-33.111587921953685	226.93018851740337
959	385.26912858614344	-418.4303644624574	-33.16123587631398	247.1318829580012
969	405.96499582075245	-439.1905566730779	-33.22556085232543	260.40730073649615
979	376.2287656951568	-409.31691508189476	-33.08814938673794	241.33291870651274
989	377.5895795396352	-410.7666890355989	-33.17710949596369	242.2058162806719
999	388.78644605355737	-421.9921840074146	-33.20573795385724	249.38807538087457
1009	387.5424527486071	-420.68515862124775	-33.14270587264065	248.59011264514302
1019	378.6130856890208	-411.7286597622131	-33.115574073192306	242.86234695792857
1029	406.22650392919513	-439.4097051255161	-33.183201196320965	260.5750457917134
1039	411.8768090934134	-445.0400942996302	-33.16328520621681	264.1994487114205
1049	393.1212857428101	-426.2318920778199	-33.110606335009834	252.16866955580224
1059	394.6478685995455	-427.8080101139339	-33.160141514388386	253.14790009332526
1069	365.04565339418303	-398.1704715810482	-33.124818186865184	234.15948228192127
1079	363.2874531065175	-396.48387575219175	-33.19642264567426	233.03168014188836
1089	376.145918660524	-409.32633527596744	-33.18041661544345	241.279776261019
1099	364.97484039412694	-398.0888204307212	-33.113980036594285	234.11405909915558
1109	379.90482430860806	-413.08695584193845	-33.18213153333039	243.69093604971403
1119	385.4244368661236	-418.5803813627814	-33.15594449665781	247.23150585748272
1129	383.76670776765513	-416.91540420782985	-33.14869644017472	246.16815122265325
1139	384.4510216522515	-417.6454762969374	-33.19445464468589	246.607106140882
1149	376.9028610203552	-410.00658650638775	-33.103725486032545	241.7653189032812
1159	380.2559803501302	-413.4408383675088	-33.18485801737859	243.91618600439358
1169	396.10167140202253	-429.29062371734886	-33.18895231532633	254.08044567605663
1179	409.8292774457323	-443.01066756085504	-33.181390115122724	262.8860542192002
1189	389.9985202130825	-423.17273891130475	-33.17421869822226	250.16556349788885
1199	391.5222928833717	-424.74224708892524	-33.21995420555356	251.14299143401874
1209	373.5340511781055	-406.6095111309612	-33.07545995285568	239.60438708219849
1219	409.2451416161286	-442.4419230053332	-33.1967813892046	262.51135877447837
1229	399.219118531079	-432.3350371163609	-33.11591858528192	256.08014023204925
1239	392.3543322945069	-425.53892405308164	-33.184591758574754	251.67670527484395
1249	371.5114103632037	-404.68175200567777	-33.17034164247406	238.30695887929846
1259	379.3140159300163	-412.4741983748781	-33.16018244486179	243.3119604811172
1269	385.6581136200041	-418.8422716690621	-33.184158049058	247.38139841804662
1279	370.66873136797824	-403.7895477852288	-33.12081641725058	237.7664202496307
1289	373.8312549450399	-406.9962883450949	-33.165033400054995	239.7950292102461
1299	367.53822556210605	-400.66714970411493	-33.128924142008884	235.7583491714852
1309	383.093166815109	-416.29849554863614	-33.20532873352715	245.7361066296621
1319	377.1387478557181	-410.26131264711387	-33.122564791395746	241.91662912635093
1329	399.35987827091543	-432.5861526267383	-33.22627435582285	256.17043093267745
1339	355.94582471401935	-389.0794257643942	-33.133601050374864	228.3223735455507
1349	351.3718429311407	-384.5590861496559	-33.18724321851522	225.38838105368754
1359	343.43685494227475	-376.5868667737592	-33.15001183148445	220.29846240348587
1369	355.5877169871128	-388.7648233585106	-33.17710637139783	228.09266441422992
1379	365.10847995872405	-398.252076956799	-33.14359699807494	234.19978254488754
1389	381.23317602001254	-414.40770095346505	-33.17452493345252	244.54301070431873
1399	373.32478109194517	-406.5228096123645	-33.198028520419314	239.4701502420203
1409	367.64370941401154	-400.7968876569168	-33.153178242905256	235.82601206219937
1419	395.43917025520807	-428.6226111322202	-33.18344087701212	253.65548259511905
1429	381.39031688927315	-414.57748976554547	-33.187172876272314	244.64380912295283
1439	338.5189469289275	-371.60264892694033	-33.08370199801283	217.14385753801713
1449	366.21680757089	-399.4125684340627	-33.195760863172666	234.91072216970022
1459	367.9097793215423	-401.0153702281896	-33.10559090664731	235.9966832952874
1469	387.7287826834417	-420.90411619430597	-33.17533351086428	248.70963446568464
1479	392.01968206851853	-425.13944686170214	-33.119764793183606	251.46204301839916
1489	405.45150578653545	-438.6528715063436	-33.201365719808166	260.0779212206706
1499	370.3485897926383	-403.430605167164	-33.082015374525724	237.56106460481885
1509	395.02126585728746	-428.19937767357766	-33.1781118162902	253.38741673390265
1519	402.8383977665611	-435.9837106728114	-33.1453129062503	258.4017362958136
1529	386.8265835426811	-419.95777082596607	-33.13118728328499	248.13091648410776
1539	391.86523218631106	-425.01739710912926	-33.1521649228182	251.36297074039797
1549	405.27048400391357	-438.46702639979173	-33.19654239587817	259.96180432814947
1559	402.5778780020974	-435.7666960326906	-33.18881803059321	258.23462521640795
1569	396.05640533345417	-429.2051572567291	-33.148751923274915	254.05140963883127
1579	385.29945204501576	-418.4434741052532	-33.14402206023743	247.15133401943564
1589	368.6258432349606	-401.74734707754305	-33.121503842582456	236.45600435194913
1599	372.67623328184465	-405.87398694265363	-33.197753660808985	239.05413756515046
1609	366.8569359536907	-399.9746150769201	-33.11767912322938	235.3213341830659
1619	385.6181968036043	-418.7587476665841	-33.14055086297981	247.3557936725152
1629	405.18028295643825	-438.35354894324996	-33.173265986811714	259.90394463202176
1639	403.6722085339358	-436.7779581971865	-33.10574966325066	258.9365863776983
